team,leavers,vacated_pass_attempts,vacated_carries,vacated_targets,vacated_receptions,vacated_air_yards,vacated_red_zone_targets,vacated_inside_five_carries,vacated_snaps,vacated_fantasy_points
GB,4,35.0,148.0,148.0,100.0,1570.0,25,5.0,1612.0,386.88
BAL,5,52.0,63.0,102.0,68.0,878.0,12,0.0,1470.0,222.02
DAL,1,0.0,0.0,34.0,18.0,408.0,5,0.0,464.0,46.3
CLE,2,0.0,24.0,80.0,59.0,204.0,15,3.0,783.0,129.9
IND,2,0.0,14.0,128.0,96.0,904.0,19,1.0,1004.0,240.3
TB,2,0.0,132.0,107.0,70.0,722.0,19,9.0,931.0,227.8
LV,5,493.0,80.0,73.0,48.0,407.0,4,2.0,1639.0,287.72
NYG,3,119.0,21.0,166.0,111.0,1431.0,20,1.0,1748.0,327.34000000000003
HOU,4,0.0,122.0,86.0,49.0,462.0,11,6.0,992.0,158.6
TEN,2,0.0,0.0,131.0,85.0,989.0,8,0.0,1249.0,194.0
KC,7,13.0,301.0,172.0,120.0,1050.0,28,15.0,2326.0,448.28000000000003
BUF,3,0.0,0.0,63.0,43.0,820.0,8,0.0,926.0,103.9
PIT,5,0.0,123.0,258.0,175.0,1482.0,38,9.0,2225.0,464.3
SF,4,0.0,94.0,162.0,105.0,1599.0,28,2.0,1689.0,342.70000000000005
MIN,2,0.0,19.0,57.0,32.0,636.0,15,1.0,695.0,109.5
CHI,1,1.0,15.0,85.0,50.0,988.0,11,0.0,979.0,172.18
CIN,2,125.0,9.0,41.0,34.0,137.0,4,1.0,591.0,123.53999999999999
ATL,3,269.0,157.0,88.0,46.0,993.0,9,11.0,1649.0,308.84000000000003
CAR,3,37.0,241.0,76.0,54.0,142.0,11,9.0,898.0,261.72
ARI,4,161.0,172.0,98.0,75.0,145.0,18,5.0,1199.0,310.18
SEA,2,1.0,226.0,37.0,31.0,-47.0,3,8.0,507.0,199.08
NYJ,4,338.0,114.0,14.0,8.0,35.0,2,5.0,887.0,220.92
WAS,4,0.0,143.0,182.0,130.0,1211.0,23,15.0,1588.0,419.70000000000005
JAX,4,0.0,266.0,132.0,80.0,800.0,29,12.0,1772.0,375.4
MIA,6,396.0,26.0,183.0,120.0,2174.0,23,0.0,2297.0,518.3000000000001
NO,2,6.0,52.0,26.0,18.0,64.0,1,3.0,463.0,54.68
LAC,4,0.0,16.0,151.0,102.0,1154.0,17,0.0,1031.0,232.29999999999998
PHI,4,0.0,12.0,169.0,106.0,2060.0,20,0.0,1736.0,290.6
NE,4,10.0,35.0,131.0,108.0,1099.0,17,2.0,1195.0,294.90000000000003
DET,2,2.0,160.0,59.0,48.0,181.0,4,17.0,766.0,233.72000000000003
