player_id,player_name,position,old_team,new_team,transaction_type,transaction_status,roster_status,expected_depth_chart_rank,starter_confidence,role_uncertainty,active_roster,projection_eligible,priority,effective_season,as_of_date,source,notes
00-0038128,Malik Willis,QB,GB,MIA,signed,confirmed,active,1,medium,high,true,true,P1,2026,2026-07-29,manual_offseason_patch,Miami QB competition
00-0030565,Geno Smith,QB,LV,NYJ,trade,confirmed,active,1,high,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,Jets offense context
00-0036945,Justin Fields,QB,NYJ,KC,trade,confirmed,active,2,low,high,true,true,P1,2026,2026-07-29,manual_offseason_patch,Do not replace Mahomes as QB1
00-0036212,Tua Tagovailoa,QB,MIA,ATL,signed,confirmed,active,1,medium,high,true,true,P1,2026,2026-07-29,manual_offseason_patch,Compete with Penix/Rush
00-0029604,Kirk Cousins,QB,ATL,LV,signed,confirmed,active,1,medium,high,true,true,P1,2026,2026-07-29,manual_offseason_patch,Compete with Mendoza
00-0035228,Kyler Murray,QB,ARI,MIN,signed,confirmed,active,1,high,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,Minnesota offense
00-0028118,Tyrod Taylor,QB,NYJ,GB,signed,confirmed,active,2,low,medium,true,true,P2,2026,2026-07-29,manual_offseason_patch,GB depth
00-0027973,Andy Dalton,QB,CAR,PHI,trade,confirmed,active,2,low,low,true,true,P2,2026,2026-07-29,manual_offseason_patch,PHI backup
00-0038102,Kenny Pickett,QB,LV,CAR,signed,confirmed,active,2,low,medium,true,true,P2,2026,2026-07-29,manual_offseason_patch,CAR QB room
00-0037013,Zach Wilson,QB,MIA,NO,signed,confirmed,active,2,low,medium,true,true,P2,2026,2026-07-29,manual_offseason_patch,NO QB room
00-0035289,Gardner Minshew,QB,KC,ARI,signed,confirmed,active,1,medium,high,true,true,P1,2026,2026-07-29,manual_offseason_patch,Compete with Carson Beck
00-0037077,Sam Howell,QB,PHI,DAL,signed,confirmed,active,2,low,low,true,true,P2,2026,2026-07-29,manual_offseason_patch,DAL depth
00-0035100,Jake Browning,QB,CIN,TB,signed,confirmed,active,2,low,low,true,true,P2,2026,2026-07-29,manual_offseason_patch,TB depth
00-0033662,Cooper Rush,QB,BAL,ATL,signed,confirmed,active,3,low,high,true,true,P2,2026,2026-07-29,manual_offseason_patch,ATL camp competition
00-0032156,Trevor Siemian,QB,ATL,FA,released,confirmed,unsigned,,low,high,false,true,P3,2026,2026-07-29,manual_offseason_patch,Released ATL
00-0023459,Aaron Rodgers,QB,PIT,PIT,re_signed,confirmed,active,1,high,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,Expected PIT starter
00-0035710,Daniel Jones,QB,IND,IND,re_signed,confirmed,active,1,medium,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,IND competition
00-0026498,Matthew Stafford,QB,LAR,LAR,extended,confirmed,active,1,high,low,true,true,P1,2026,2026-07-29,manual_offseason_patch,LAR starter
00-0026158,Joe Flacco,QB,CIN,CIN,re_signed,confirmed,active,2,low,low,true,true,P3,2026,2026-07-29,manual_offseason_patch,CIN depth
00-0037012,Trey Lance,QB,LAC,LAC,re_signed,confirmed,active,2,low,low,true,true,P3,2026,2026-07-29,manual_offseason_patch,LAC depth
00-0035685,David Montgomery,RB,DET,HOU,trade,confirmed,active,1,medium,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,HOU backfield
00-0038134,Kenneth Walker III,RB,SEA,KC,signed,confirmed,active,1,medium,high,true,true,P1,2026,2026-07-29,manual_offseason_patch,Major KC option
00-0036139,Rico Dowdle,RB,CAR,PIT,signed,confirmed,active,1,medium,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,PIT backfield
00-0036973,Travis Etienne Jr.,RB,JAX,NO,signed,confirmed,active,1,medium,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,NO backfield
00-0037256,Rachaad White,RB,TB,WAS,signed,confirmed,active,1,medium,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,WAS backfield
00-0037267,Jerome Ford,RB,CLE,WAS,signed,confirmed,active,2,low,medium,true,true,P2,2026,2026-07-29,manual_offseason_patch,Compete with White
00-0037197,Isiah Pacheco,RB,KC,DET,signed,confirmed,active,1,medium,medium,true,true,P1,2026,2026-07-29,manual_offseason_patch,DET backfield
00-0037263,Tyler Allgeier,RB,ATL,ARI,signed,confirmed,active,2,medium,high,true,true,P1,2026,2026-07-29,manual_offseason_patch,With Jeremiyah Love
