player_id,player_name,reason,source_note,date_entered,reference_rank,allow_unsigned
00-0033280,Christian McCaffrey,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,7,false
00-0039337,Malik Nabers,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,36,false
00-0036442,Joe Burrow,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,45,false
00-0031408,Mike Evans,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,49,false
00-0039910,Jayden Daniels,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,51,false
00-0035685,David Montgomery,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,63,false
00-0040719,Bhayshul Tuten,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,68,false
00-0036971,Trevor Lawrence,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,73,false
00-0033921,Chris Godwin Jr.,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,79,false
00-0035228,Kyler Murray,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,113,false
00-0039146,Jayden Reed,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,114,false
00-0036264,Jordan Love,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,117,false
00-0037838,Isaiah Likely,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,118,false
00-0039344,Jonathon Brooks,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,119,false
00-0040743,Tyler Shough,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,122,false
00-0039491,Jalen Coker,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,128,false
00-0038128,Malik Willis,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,130,false
00-0040667,Matthew Golden,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,132,false
00-0040583,Woody Marks,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,133,false
00-0039163,C.J. Stroud,FantasyPros PPR top-135 coverage audit,FantasyPros 2026 PPR consensus rankings,2026-07-29,135,false
00-0031588,Stefon Diggs,User-nominated fantasy-relevant coverage exception,FantasyPros 2026 PPR consensus rankings,2026-07-29,175,true
00-0033553,James Conner,User-nominated fantasy-relevant coverage exception,FantasyPros 2026 PPR consensus rankings,2026-07-29,176,false
